snapshot_month,store_id,product_id,stock_on_hand,reorder_point,ending_stock
2024-01-01,1,126,301,78,313
2024-01-01,1,127,320,17,287
2024-01-01,1,128,159,52,146
2024-01-01,1,129,326,17,334
2024-01-01,1,130,326,15,319
2024-01-01,1,131,312,37,325
2024-01-01,1,132,331,47,294
2024-01-01,1,133,320,11,284
2024-01-01,1,134,95,56,57
2024-01-01,1,135,149,23,147
2024-01-01,1,136,134,25,137
2024-01-01,1,137,159,21,120
2024-01-01,1,138,128,31,112
2024-01-01,1,139,240,22,220
2024-01-01,1,140,236,48,211
2024-01-01,1,141,96,40,80
2024-01-01,1,142,254,31,234
2024-01-01,1,143,140,12,150
2024-01-01,1,144,273,30,253
2024-01-01,1,145,261,48,265
2024-01-01,1,146,201,35,207
2024-01-01,1,147,198,62,191
2024-01-01,1,148,241,37,244
2024-01-01,1,149,202,42,209
2024-01-01,1,150,106,10,95
2024-01-01,1,151,238,38,239
2024-01-01,1,152,195,23,209
2024-01-01,1,153,321,13,339
2024-01-01,1,154,86,15,87
2024-01-01,1,155,137,47,131
2024-01-01,1,156,167,14,177
2024-01-01,1,157,293,12,256
2024-01-01,1,158,333,13,325
2024-01-01,1,159,160,13,146
2024-01-01,1,160,314,35,311
2024-01-01,1,161,304,28,320
2024-01-01,1,162,294,35,281
2024-01-01,1,163,201,11,169
2024-01-01,1,164,257,26,270
2024-01-01,1,165,101,41,109
2024-01-01,1,166,217,10,222
2024-01-01,1,167,166,21,127
2024-01-01,1,168,330,15,293
2024-01-01,1,169,222,45,215
2024-01-01,1,170,88,63,108
2024-01-01,1,171,179,15,163
2024-01-01,1,172,262,33,259
2024-01-01,1,173,199,67,163
2024-01-01,1,174,115,73,124
2024-01-01,1,175,161,21,156
2024-01-01,1,176,162,59,178
2024-01-01,1,177,165,47,129
2024-01-01,1,178,92,12,74
2024-01-01,1,179,141,15,161
2024-01-01,1,180,118,12,131
2024-01-01,1,181,155,39,119
2024-01-01,1,182,295,49,313
2024-01-01,1,183,87,13,66
2024-01-01,1,184,318,19,329
2024-01-01,1,185,203,45,218
2024-01-01,1,186,167,36,182
2024-01-01,1,187,223,10,220
2024-01-01,1,188,235,16,207
2024-01-01,1,189,99,22,69
2024-01-01,1,190,93,66,69
2024-01-01,1,191,297,12,316
2024-01-01,1,192,196,35,190
2024-01-01,1,193,220,10,183
2024-01-01,1,194,299,53,305
2024-01-01,1,195,114,26,104
2024-01-01,1,196,253,50,227
2024-01-01,1,197,212,46,222
2024-01-01,1,198,113,37,102
2024-01-01,1,199,181,25,200
2024-01-01,1,200,266,49,247
2024-01-01,1,201,182,62,160
2024-01-01,1,202,283,33,280
2024-01-01,1,203,194,77,183
2024-01-01,1,204,186,75,149
2024-01-01,1,205,349,77,315
2024-01-01,1,206,89,20,99
2024-01-01,1,207,281,32,245
2024-01-01,1,208,124,35,125
2024-01-01,1,209,212,44,199
2024-01-01,1,210,346,10,335
2024-01-01,1,211,323,39,302
2024-01-01,1,212,99,58,118
2024-01-01,1,213,108,51,72
2024-01-01,1,214,160,37,139
2024-01-01,1,215,315,47,310
2024-01-01,1,216,225,10,196
2024-01-01,1,217,180,22,185
2024-01-01,1,218,318,48,282
2024-01-01,1,219,311,11,295
2024-01-01,1,220,250,19,217
2024-01-01,1,221,151,31,117
2024-01-01,1,222,313,33,325
2024-01-01,1,223,183,44,190
2024-01-01,1,224,106,26,92
2024-01-01,1,225,329,44,343
2024-01-01,1,226,139,19,139
2024-01-01,1,227,122,12,128
2024-01-01,1,228,130,44,91
2024-01-01,1,229,155,40,156
2024-01-01,1,230,141,10,147
2024-01-01,1,231,90,10,87
2024-01-01,1,232,82,32,58
2024-01-01,1,233,148,18,157
2024-01-01,1,234,50,13,33
2024-01-01,1,235,61,73,71
2024-01-01,1,236,59,38,36
2024-01-01,1,237,57,16,25
2024-01-01,1,238,62,21,75
2024-01-01,1,239,110,21,89
2024-01-01,1,240,54,31,70
2024-01-01,1,241,64,39,35
2024-01-01,1,242,65,37,51
2024-01-01,1,243,127,42,111
2024-01-01,1,244,158,44,161
2024-01-01,1,245,142,17,142
2024-01-01,1,246,74,12,82
2024-01-01,1,247,53,19,66
2024-01-01,1,248,127,23,93
2024-01-01,1,249,134,43,129
2024-01-01,1,250,138,10,129
2024-01-01,1,251,41,32,15
2024-01-01,1,252,41,79,6
2024-01-01,1,253,122,24,126
2024-01-01,1,254,73,28,90
2024-01-01,1,255,82,11,86
2024-01-01,1,256,109,33,90
2024-01-01,1,257,108,43,111
2024-01-01,1,258,59,35,54
2024-01-01,1,259,154,11,169
2024-01-01,1,260,106,56,101
2024-01-01,1,261,151,53,124
2024-01-01,1,262,149,28,155
2024-01-01,1,263,71,38,62
2024-01-01,1,264,117,12,95
2024-01-01,1,265,130,38,94
2024-01-01,1,266,36,14,6
2024-01-01,1,267,56,42,50
2024-01-01,1,268,81,11,56
2024-01-01,1,269,137,77,153
2024-01-01,1,270,102,12,69
2024-01-01,1,271,74,41,70
2024-01-01,1,272,146,34,137
2024-01-01,1,273,77,18,62
2024-01-01,1,274,46,40,42
2024-01-01,1,275,93,47,70
2024-01-01,1,276,102,55,117
2024-01-01,1,277,104,42,109
2024-01-01,1,278,153,38,163
2024-01-01,1,279,78,18,69
2024-01-01,1,280,38,56,36
2024-01-01,1,281,151,25,115
2024-01-01,1,282,43,21,29
2024-01-01,1,283,107,36,122
2024-01-01,1,284,131,23,112
2024-01-01,1,285,78,26,42
2024-01-01,1,286,44,55,40
2024-01-01,1,287,125,29,95
2024-01-01,1,288,43,35,21
2024-01-01,1,289,65,38,59
2024-01-01,1,290,159,56,124
2024-01-01,1,291,88,26,60
2024-01-01,1,292,153,10,144
2024-01-01,1,293,114,23,100
2024-01-01,1,294,117,48,97
2024-01-01,1,295,50,11,25
2024-01-01,1,296,87,65,80
2024-01-01,1,297,38,52,5
2024-01-01,1,298,125,13,136
2024-01-01,1,299,68,14,86
2024-01-01,1,300,86,11,88
2024-01-01,1,301,138,12,144
2024-01-01,1,302,88,41,82
2024-01-01,1,303,47,41,49
2024-01-01,1,304,54,68,27
2024-01-01,1,305,156,16,170
2024-01-01,1,306,143,37,158
2024-01-01,1,307,35,24,11
2024-01-01,1,308,88,15,87
2024-01-01,1,309,79,49,63
2024-01-01,1,310,43,18,25
2024-01-01,1,311,36,44,16
2024-01-01,1,312,58,13,48
2024-01-01,1,313,159,11,170
2024-01-01,1,314,68,21,59
2024-01-01,1,315,103,46,96
2024-01-01,1,316,147,15,164
2024-01-01,1,317,48,14,48
2024-01-01,1,318,119,30,110
2024-01-01,1,319,59,49,40
2024-01-01,1,320,99,77,85
2024-01-01,1,321,151,41,142
2024-01-01,1,322,131,47,105
2024-01-01,1,323,40,48,42
2024-01-01,1,324,59,31,46
2024-01-01,1,325,81,14,82
2024-01-01,1,326,83,21,102
2024-01-01,1,327,125,44,102
2024-01-01,1,328,152,11,154
2024-01-01,1,329,147,45,163
2024-01-01,1,330,146,30,132
2024-01-01,1,331,156,63,129
2024-01-01,1,332,80,48,89
2024-01-01,1,333,117,32,79
2024-01-01,1,334,126,29,140
2024-01-01,1,335,143,27,160
2024-01-01,1,336,140,60,126
2024-01-01,1,337,133,36,110
2024-01-01,1,338,70,45,84
2024-01-01,1,339,81,10,58
2024-01-01,1,340,74,29,40
2024-01-01,1,341,147,12,156
2024-01-01,1,342,118,48,84
2024-01-01,1,343,70,28,60
2024-01-01,1,344,148,27,157
2024-01-01,1,345,77,11,85
2024-01-01,1,346,95,27,96
2024-01-01,1,347,91,11,73
2024-01-01,1,348,57,49,36
2024-01-01,1,349,159,13,170
2024-01-01,1,350,83,36,53
2024-01-01,1,351,85,43,75
2024-01-01,1,352,45,14,47
2024-01-01,1,353,84,31,70
2024-01-01,1,354,73,30,35
2024-01-01,1,355,94,40,75
2024-01-01,1,356,108,56,88
2024-01-01,1,357,71,15,43
2024-01-01,1,358,54,44,61
2024-01-01,1,359,131,16,119
2024-01-01,1,360,122,15,94
2024-01-01,1,361,36,47,13
2024-01-01,1,362,98,10,111
2024-01-01,1,363,86,18,83
2024-01-01,1,364,83,43,72
2024-01-01,1,365,45,38,30
2024-01-01,1,366,77,65,82
2024-01-01,1,367,126,24,102
2024-01-01,1,368,109,13,105
2024-01-01,1,369,132,28,97
2024-01-01,1,370,80,14,59
2024-01-01,1,371,152,12,123
2024-01-01,1,372,158,49,124
2024-01-01,1,373,81,45,59
2024-01-01,1,374,43,37,20
2024-01-01,1,375,138,16,125
2024-01-01,1,376,157,10,171
2024-01-01,1,377,79,43,70
2024-01-01,1,378,149,43,159
2024-01-01,1,379,155,22,139
2024-01-01,1,380,136,35,151
2024-01-01,1,381,85,16,75
2024-01-01,1,382,137,53,109
2024-01-01,1,383,153,15,115
2024-01-01,1,384,84,11,71
2024-01-01,1,385,119,47,135
2024-01-01,1,386,146,29,148
2024-01-01,1,387,126,17,117
2024-01-01,1,388,101,27,117
2024-01-01,1,389,94,24,69
2024-01-01,1,390,122,26,130
2024-01-01,1,391,66,76,77
2024-01-01,1,392,115,20,110
2024-01-01,1,393,110,26,102
2024-01-01,1,394,71,17,43
2024-01-01,1,395,78,26,82
2024-01-01,1,396,106,47,80
2024-01-01,1,397,101,46,66
2024-01-01,1,398,86,44,71
2024-01-01,1,399,102,57,84
2024-01-01,1,400,62,18,37
2024-01-01,1,401,157,29,137
2024-01-01,1,402,94,31,86
2024-01-01,1,403,129,73,125
2024-01-01,1,404,146,56,148
2024-01-01,1,405,82,40,57
2024-01-01,1,406,116,14,105
2024-01-01,1,407,62,29,70
2024-01-01,1,408,72,12,73
2024-01-01,1,409,71,48,45
2024-01-01,1,410,130,12,134
2024-01-01,1,411,95,49,115
2024-01-01,1,412,123,48,118
2024-01-01,1,413,108,35,77
2024-01-01,1,414,51,11,62
2024-01-01,1,415,74,66,41
2024-01-01,1,416,79,15,91
2024-01-01,1,417,50,47,51
2024-01-01,1,418,30,18,0
2024-01-01,1,419,113,27,114
2024-01-01,1,420,37,44,45
2024-01-01,1,421,82,32,59
2024-01-01,1,422,104,11,96
2024-01-01,1,423,127,49,143
2024-01-01,1,424,50,14,64
2024-01-01,1,425,128,31,143
2024-01-01,1,426,91,23,86
2024-01-01,1,427,93,36,113
2024-01-01,1,428,79,42,72
2024-01-01,1,429,36,31,47
2024-01-01,1,430,74,15,74
2024-01-01,1,431,53,33,45
2024-01-01,1,432,120,10,137
2024-01-01,1,433,92,62,65
2024-01-01,1,434,65,49,34
2024-01-01,1,435,128,23,130
2024-01-01,1,436,127,16,108
2024-01-01,1,437,56,46,69
2024-01-01,1,438,39,15,53
2024-01-01,1,439,64,24,60
2024-01-01,1,440,56,47,68
2024-01-01,1,441,137,51,154
2024-01-01,1,442,129,70,106
2024-01-01,1,443,35,15,52
2024-01-01,1,444,127,36,115
2024-01-01,1,445,93,13,78
2024-01-01,1,446,32,44,33
2024-01-01,1,447,90,40,109
2024-01-01,1,448,57,47,35
2024-01-01,1,449,96,34,107
2024-01-01,1,450,101,10,82
2024-01-01,1,451,87,51,90
2024-01-01,1,452,108,32,119
2024-01-01,1,453,95,32,91
2024-01-01,1,454,79,37,99
2024-01-01,1,455,107,13,115
2024-01-01,1,456,120,12,105
2024-01-01,1,457,99,13,81
2024-01-01,1,458,42,13,38
2024-01-01,1,459,54,18,41
2024-01-01,1,460,104,21,124
2024-01-01,1,461,98,28,61
2024-01-01,1,462,78,38,73
2024-01-01,1,463,85,41,103
2024-01-01,1,464,132,26,142
2024-01-01,1,465,32,15,9
2024-01-01,1,466,56,31,35
2024-01-01,1,467,117,68,114
2024-01-01,1,468,71,39,65
2024-01-01,1,469,60,27,40
2024-01-01,1,470,30,53,1
2024-01-01,1,471,123,13,123
2024-01-01,1,472,77,41,41
2024-01-01,1,473,40,71,52
2024-01-01,1,474,35,35,0
2024-01-01,1,475,54,28,58
2024-01-01,1,476,98,19,77
2024-01-01,1,477,113,42,130
2024-01-01,1,478,135,29,139
2024-01-01,1,479,112,39,91
2024-01-01,1,480,103,12,96
2024-01-01,1,481,95,13,80
2024-01-01,1,482,48,45,45
2024-01-01,1,483,89,23,103
2024-01-01,1,484,68,27,66
2024-01-01,1,485,36,12,42
2024-01-01,1,486,77,13,79
2024-01-01,1,487,38,16,6
2024-01-01,1,488,131,34,100
2024-01-01,1,489,39,38,4
2024-01-01,1,490,94,49,82
2024-01-01,1,491,110,24,77
2024-01-01,1,492,94,13,87
2024-01-01,1,493,76,36,86
2024-01-01,1,494,62,48,74
2024-01-01,1,495,70,35,67
2024-01-01,1,496,113,37,111
2024-01-01,1,497,50,31,70
2024-01-01,1,498,51,52,15
2024-01-01,1,499,114,16,118
2024-01-01,1,500,113,13,128
2024-01-01,1,501,69,63,40
2024-01-01,1,502,120,17,99
2024-01-01,1,503,41,57,9
2024-01-01,1,504,69,21,69
2024-01-01,1,505,134,12,100
2024-01-01,1,506,136,32,115
2024-01-01,1,507,59,44,73
2024-01-01,1,508,31,31,19
2024-01-01,1,509,79,52,74
2024-01-01,1,510,72,22,69
2024-01-01,1,511,102,37,68
2024-01-01,1,512,84,46,77
2024-01-01,1,513,120,14,123
2024-01-01,1,514,104,10,65
2024-01-01,1,515,82,35,46
2024-01-01,1,516,103,19,83
2024-01-01,1,517,53,15,15
2024-01-01,1,518,103,13,107
2024-01-01,1,519,54,21,47
2024-01-01,1,520,31,75,45
2024-01-01,1,521,71,48,86
2024-01-01,1,522,139,62,145
2024-01-01,1,523,103,28,83
2024-01-01,1,524,126,22,108
2024-01-01,1,525,31,16,0
2024-01-01,1,526,122,24,125
2024-01-01,1,527,105,20,121
2024-01-01,1,528,85,32,84
2024-01-01,1,529,104,10,113
2024-01-01,1,530,36,40,41
2024-01-01,1,531,75,21,44
2024-01-01,1,532,127,25,97
2024-01-01,1,533,92,43,63
2024-01-01,1,534,63,11,77
2024-01-01,1,535,74,21,60
2024-01-01,1,536,50,22,29
2024-01-01,1,537,67,15,41
2024-01-01,1,538,47,16,46
2024-01-01,1,539,68,12,76
2024-01-01,1,540,97,38,65
2024-01-01,1,541,98,17,94
2024-01-01,1,542,64,24,84
2024-01-01,1,543,80,12,99
2024-01-01,1,544,66,32,81
2024-01-01,1,545,86,16,48
2024-01-01,1,546,86,36,58
2024-01-01,1,547,36,19,0
2024-01-01,1,548,107,34,84
2024-01-01,1,549,73,31,73
2024-01-01,1,550,84,21,67
2024-01-01,1,551,132,46,117
2024-01-01,1,552,82,16,88
2024-01-01,1,553,121,12,101
2024-01-01,1,554,138,64,111
2024-01-01,1,555,69,20,46
2024-01-01,1,556,80,40,62
2024-01-01,1,557,90,37,108
2024-01-01,1,558,61,41,63
2024-01-01,1,559,45,48,52
2024-01-01,1,560,44,30,63
2024-01-01,1,561,56,18,55
2024-01-01,1,562,38,20,16
2024-01-01,1,563,54,12,55
2024-01-01,1,564,45,15,36
2024-01-01,1,565,41,25,51
2024-01-01,1,566,107,17,100
2024-01-01,1,567,87,22,107
2024-01-01,1,568,95,50,62
2024-01-01,1,569,84,15,56
2024-01-01,1,570,46,73,12
2024-01-01,1,571,105,31,114
2024-01-01,1,572,91,28,102
2024-01-01,1,573,57,26,67
2024-01-01,1,574,77,44,88
2024-01-01,1,575,30,19,46
2024-01-01,1,576,49,34,27
2024-01-01,1,577,38,32,21
2024-01-01,1,578,101,20,84
2024-01-01,1,579,60,59,33
2024-01-01,1,580,94,31,85
2024-01-01,1,581,86,64,82
2024-01-01,1,582,77,16,70
2024-01-01,1,583,135,13,130
2024-01-01,1,584,37,44,44
2024-01-01,1,585,47,28,27
2024-01-01,1,586,46,11,59
2024-01-01,1,587,32,23,49
2024-01-01,1,588,37,44,47
2024-01-01,1,589,27,48,34
2024-01-01,1,590,31,26,40
2024-01-01,1,591,41,16,4
2024-01-01,1,592,32,34,23
2024-01-01,1,593,35,28,50
2024-01-01,1,594,21,47,0
2024-01-01,1,595,24,15,44
2024-01-01,1,596,22,18,27
2024-01-01,1,597,35,10,5
2024-01-01,1,598,25,52,19
2024-01-01,1,599,10,17,22
2024-01-01,1,600,21,21,23
2024-01-01,1,601,42,46,22
2024-01-01,1,602,28,40,22
2024-01-01,1,603,8,33,14
2024-01-01,1,604,48,15,18
2024-01-01,1,605,11,31,14
2024-01-01,1,606,37,63,0
2024-01-01,1,607,34,19,8
2024-01-01,1,608,21,74,0
2024-01-01,1,609,47,12,59
2024-01-01,1,610,25,17,13
2024-01-01,1,611,40,27,57
2024-01-01,1,612,34,34,9
2024-01-01,1,613,50,26,32
2024-01-01,1,614,38,33,34
2024-01-01,1,615,49,34,48
2024-01-01,1,616,27,43,42
2024-01-01,1,617,50,76,11
2024-01-01,1,618,19,25,17
2024-01-01,1,619,41,38,5
2024-01-01,1,620,21,43,7
2024-01-01,1,621,12,18,0
2024-01-01,1,622,41,17,51
2024-01-01,1,623,12,77,0
2024-01-01,1,624,34,54,43
2024-01-01,1,625,50,37,45
2024-01-01,1,626,10,21,0
2024-01-01,1,627,54,78,36
2024-01-01,1,628,12,26,0
2024-01-01,1,629,52,68,38
2024-01-01,1,630,43,55,49
2024-01-01,1,631,34,32,47
2024-01-01,1,632,23,12,8
2024-01-01,1,633,9,71,16
2024-01-01,1,634,52,38,43
2024-01-01,1,635,38,42,37
2024-01-01,1,636,42,40,28
2024-01-01,1,637,16,47,0
2024-01-01,1,638,48,34,59
2024-01-01,1,639,11,21,0
2024-01-01,1,640,25,30,29
2024-01-01,1,641,17,41,19
2024-01-01,1,642,45,14,48
2024-01-01,1,643,29,18,28
2024-01-01,1,644,33,27,24
2024-01-01,1,645,15,42,0
2024-01-01,1,646,39,30,5
2024-01-01,1,647,42,43,15
2024-01-01,1,648,48,36,48
2024-01-01,1,649,25,33,29
2024-01-01,1,650,43,14,40
2024-01-01,1,651,14,61,9
2024-01-01,1,652,17,73,11
2024-01-01,1,653,31,48,7
2024-01-01,1,654,41,52,40
2024-01-01,1,655,28,20,37
2024-01-01,1,656,19,20,15
2024-01-01,1,657,19,29,10
2024-01-01,1,658,51,47,51
2024-01-01,1,659,18,39,8
2024-01-01,1,660,19,46,6
2024-01-01,1,661,20,36,0
2024-01-01,1,662,21,33,6
2024-01-01,1,663,27,22,26
2024-01-01,1,664,8,40,28
2024-01-01,1,665,32,37,4
2024-01-01,1,666,22,54,20
2024-01-01,1,667,10,41,0
2024-01-01,1,668,49,37,57
2024-01-01,1,669,35,77,44
2024-01-01,1,670,29,36,0
2024-01-01,1,671,44,43,61
2024-01-01,1,672,37,61,50
2024-01-01,1,673,41,33,16
2024-01-01,1,674,48,67,11
2024-01-01,1,675,30,54,14
2024-01-01,1,676,8,45,0
2024-01-01,1,677,22,64,0
2024-01-01,1,678,22,46,14
2024-01-01,1,679,13,18,19
2024-01-01,1,680,45,13,32
2024-01-01,1,681,49,20,17
2024-01-01,1,682,18,17,27
2024-01-01,1,683,12,46,16
2024-01-01,1,684,21,36,24
2024-01-01,1,685,9,64,0
2024-01-01,1,686,18,46,0
2024-01-01,1,687,8,44,0
2024-01-01,1,688,38,46,19
2024-01-01,1,689,50,34,31
2024-01-01,1,690,50,11,50
2024-01-01,1,691,30,17,0
2024-01-01,1,692,53,38,62
2024-01-01,1,693,37,36,7
2024-01-01,1,694,31,47,19
2024-01-01,1,695,27,38,2
2024-01-01,1,696,54,15,41
2024-01-01,1,697,8,17,11
2024-01-01,1,698,50,28,64
2024-01-01,1,699,50,19,65
2024-01-01,1,700,21,34,9
2024-01-01,1,701,32,69,26
2024-01-01,1,702,24,67,14
2024-01-01,1,703,42,27,54
2024-01-01,1,704,13,28,32
2024-01-01,1,705,21,46,18
2024-01-01,1,706,52,48,66
2024-01-01,1,707,50,23,69
2024-01-01,1,708,46,15,61
2024-01-01,1,709,43,25,11
2024-01-01,1,710,23,27,41
2024-01-01,1,711,50,25,60
2024-01-01,1,712,16,45,19
2024-01-01,1,713,40,39,44
2024-01-01,1,714,34,30,29
2024-01-01,1,715,41,14,30
2024-01-01,1,716,34,49,37
2024-01-01,1,717,17,28,0
2024-01-01,1,718,37,62,48
2024-01-01,1,719,44,21,29
2024-01-01,1,720,19,13,0
2024-01-01,2,1,278,47,283
2024-01-01,2,2,186,21,148
2024-01-01,2,3,302,77,275
2024-01-01,2,4,151,54,148
2024-01-01,2,5,345,14,329
2024-01-01,2,6,204,18,215
2024-01-01,2,7,188,60,170
2024-01-01,2,8,344,15,356
2024-01-01,2,9,158,18,140
2024-01-01,2,10,184,16,202
2024-01-01,2,11,256,42,247
2024-01-01,2,12,225,23,199
2024-01-01,2,13,265,61,276
2024-01-01,2,14,183,55,158
2024-01-01,2,15,129,38,126
2024-01-01,2,16,295,37,304
2024-01-01,2,17,106,12,96
2024-01-01,2,18,124,19,94
2024-01-01,2,19,259,51,254
2024-01-01,2,20,220,26,228
2024-01-01,2,21,284,71,249
2024-01-01,2,22,82,13,95
2024-01-01,2,23,287,32,295
2024-01-01,2,24,103,40,121
2024-01-01,2,25,226,28,207
2024-01-01,2,26,319,40,293
2024-01-01,2,27,214,12,193
2024-01-01,2,28,190,12,194
2024-01-01,2,29,103,10,70
2024-01-01,2,30,160,54,124
2024-01-01,2,31,233,35,195
2024-01-01,2,32,84,66,102
2024-01-01,2,33,222,39,206
2024-01-01,2,34,121,48,130
2024-01-01,2,35,129,18,137
2024-01-01,2,36,109,43,76
2024-01-01,2,37,124,71,120
2024-01-01,2,38,117,29,121
2024-01-01,2,39,219,12,209
2024-01-01,2,40,162,16,128
2024-01-01,2,41,311,40,292
2024-01-01,2,42,85,50,46
2024-01-01,2,43,199,20,190
2024-01-01,2,44,216,24,195
2024-01-01,2,45,244,15,250
2024-01-01,2,46,297,19,296
2024-01-01,2,47,202,36,178
2024-01-01,2,48,153,16,146
2024-01-01,2,49,206,39,195
2024-01-01,2,50,153,54,158
2024-01-01,2,51,122,45,120
2024-01-01,2,52,172,79,190
2024-01-01,2,53,317,78,303
2024-01-01,2,54,266,17,256
2024-01-01,2,55,226,17,225
2024-01-01,2,56,259,24,251
2024-01-01,2,57,199,33,185
2024-01-01,2,58,149,11,122
2024-01-01,2,59,99,44,97
2024-01-01,2,60,113,30,111
2024-01-01,2,61,319,47,294
2024-01-01,2,62,322,10,342
2024-01-01,2,63,308,36,271
2024-01-01,2,64,122,43,125
2024-01-01,2,65,216,46,223
2024-01-01,2,66,233,33,194
2024-01-01,2,67,261,14,224
2024-01-01,2,68,347,33,310
2024-01-01,2,69,94,41,70
2024-01-01,2,70,144,18,128
2024-01-01,2,71,208,48,200
2024-01-01,2,72,233,42,216
2024-01-01,2,73,292,35,255
2024-01-01,2,74,187,43,181
2024-01-01,2,75,179,10,157
2024-01-01,2,76,88,18,85
2024-01-01,2,77,170,42,180
2024-01-01,2,78,224,14,186
2024-01-01,2,79,124,13,139
2024-01-01,2,80,129,26,101
2024-01-01,2,81,120,17,89
2024-01-01,2,82,246,17,260
2024-01-01,2,83,225,33,221
2024-01-01,2,84,187,29,177
2024-01-01,2,85,317,38,321
2024-01-01,2,86,297,15,313
2024-01-01,2,87,140,24,116
2024-01-01,2,88,284,18,250
2024-01-01,2,89,313,42,332
2024-01-01,2,90,307,56,318
2024-01-01,2,91,348,40,353
2024-01-01,2,92,137,40,146
2024-01-01,2,93,202,18,215
2024-01-01,2,94,289,11,289
2024-01-01,2,95,182,45,171
2024-01-01,2,96,321,15,312
2024-01-01,2,97,278,37,275
2024-01-01,2,98,180,17,171
2024-01-01,2,99,338,53,336
