customer_id,customer_code,gender,age,country,city,segment,signup_date,acquisition_channel,loyalty_contact_pref
24,CUST_00024,Female,69,Egypt,Alexandria,Premium,2024-10-06,Store,None
25,CUST_00025,Male,55,Egypt,Alexandria,Budget,2023-07-09,Store,Email
26,CUST_00026,Female,62,Egypt,Giza,Budget,2023-11-11,Store,Push
27,CUST_00027,Male,47,Saudi Arabia,Jeddah,Budget,2025-09-09,App,Email
28,CUST_00028,Female,35,UAE,Sharjah,Regular,2025-06-26,Store,Push
29,CUST_00029,Female,27,Egypt,Cairo,Regular,2024-11-02,App,Email
30,CUST_00030,Female,38,Egypt,Giza,Budget,2024-08-31,Store,None
31,CUST_00031,Male,34,UAE,Dubai,Budget,2025-10-27,Website,None
32,CUST_00032,Female,19,Jordan,Irbid,Regular,2023-01-03,App,SMS
33,CUST_00033,Male,43,Jordan,Amman,Regular,2023-05-09,Store,Email
34,CUST_00034,Female,38,UAE,Abu Dhabi,Regular,2021-03-13,Store,Push
35,CUST_00035,Male,35,Jordan,Amman,Regular,2024-01-07,Referral,Push
36,CUST_00036,Male,25,Saudi Arabia,Dammam,Budget,2021-08-07,App,Push
37,CUST_00037,Female,45,Saudi Arabia,Dammam,Premium,2025-02-21,Store,Push
38,CUST_00038,Male,28,Jordan,Amman,Budget,2022-02-01,App,Email
39,CUST_00039,Male,63,Saudi Arabia,Jeddah,Budget,2025-10-10,Store,Push
40,CUST_00040,Male,35,Jordan,Irbid,Budget,2024-06-26,Website,None
41,CUST_00041,Male,54,Egypt,Giza,Regular,2025-05-06,Store,Push
42,CUST_00042,Male,58,Jordan,Aqaba,Budget,2024-09-27,Store,Email
43,CUST_00043,Female,64,Saudi Arabia,Jeddah,Regular,2021-12-26,Store,Email
44,CUST_00044,Male,53,UAE,Sharjah,Regular,2021-05-15,Store,None
45,CUST_00045,Male,54,Saudi Arabia,Jeddah,Regular,2025-02-16,Website,Email
46,CUST_00046,Female,50,Saudi Arabia,Riyadh,Business,2023-08-29,App,Email
47,CUST_00047,Male,33,Egypt,Cairo,Budget,2023-12-19,App,Email
48,CUST_00048,Female,63,Egypt,Giza,Regular,2022-04-28,App,Push
49,CUST_00049,Male,40,Egypt,Cairo,Regular,2022-12-07,Store,Email
50,CUST_00050,Female,53,Jordan,Irbid,Regular,2021-11-19,Store,Push
51,CUST_00051,Male,51,Saudi Arabia,Dammam,Budget,2023-11-01,Website,Push
52,CUST_00052,Female,51,UAE,Abu Dhabi,Budget,2023-05-31,Store,Email
53,CUST_00053,Female,57,Saudi Arabia,Riyadh,Premium,2024-08-10,Website,None
54,CUST_00054,Male,24,Saudi Arabia,Dammam,Budget,2025-03-26,App,None
55,CUST_00055,Female,33,Jordan,Aqaba,Regular,2024-08-09,Store,Push
56,CUST_00056,Female,43,UAE,Abu Dhabi,Regular,2025-09-19,Website,None
57,CUST_00057,Male,23,UAE,Dubai,Premium,2021-05-10,App,Email
58,CUST_00058,Male,20,Saudi Arabia,Jeddah,Business,2024-12-08,Store,SMS
59,CUST_00059,Female,59,Saudi Arabia,Jeddah,Premium,2021-07-18,App,SMS
60,CUST_00060,Male,52,UAE,Abu Dhabi,Regular,2023-06-22,App,SMS
61,CUST_00061,Female,52,Jordan,Amman,Regular,2025-04-26,Store,None
62,CUST_00062,Male,29,Jordan,Amman,Premium,2021-04-25,Store,SMS
63,CUST_00063,Female,63,Egypt,Giza,Regular,2024-02-12,Referral,None
64,CUST_00064,Male,60,Egypt,Cairo,Regular,2023-03-04,Store,None
65,CUST_00065,Male,50,UAE,Sharjah,Regular,2025-08-24,Store,SMS
66,CUST_00066,Female,34,Jordan,Zarqa,Regular,2021-06-19,Store,Push
67,CUST_00067,Male,33,Saudi Arabia,Dammam,Budget,2025-05-18,App,SMS
68,CUST_00068,Female,18,Jordan,Amman,Budget,2024-07-11,Website,SMS
69,CUST_00069,Female,52,Jordan,Aqaba,Budget,2023-04-06,Store,None
70,CUST_00070,Female,32,Saudi Arabia,Jeddah,Premium,2023-07-30,Store,None
71,CUST_00071,Male,40,Egypt,Cairo,Premium,2021-12-18,Store,SMS
72,CUST_00072,Female,34,Egypt,Cairo,Regular,2021-11-27,Website,Push
73,CUST_00073,Female,25,Jordan,Irbid,Budget,2024-07-27,Website,Push
74,CUST_00074,Female,28,Saudi Arabia,Riyadh,Budget,2021-08-25,Store,Push
75,CUST_00075,Male,66,UAE,Sharjah,Regular,2024-09-28,Website,Email
76,CUST_00076,Male,63,Saudi Arabia,Riyadh,Budget,2025-06-25,Website,None
77,CUST_00077,Female,56,Jordan,Amman,Regular,2021-02-19,Store,Email
78,CUST_00078,Male,22,Saudi Arabia,Jeddah,Regular,2025-10-02,Website,SMS
79,CUST_00079,Female,32,Jordan,Irbid,Regular,2021-12-31,Store,SMS
80,CUST_00080,Female,47,Egypt,Giza,Regular,2022-04-11,App,SMS
81,CUST_00081,Female,65,UAE,Sharjah,Business,2022-07-26,Website,SMS
82,CUST_00082,Male,21,Saudi Arabia,Riyadh,Premium,2024-12-16,App,Push
83,CUST_00083,Female,60,Saudi Arabia,Jeddah,Regular,2025-12-23,Referral,None
84,CUST_00084,Male,25,Egypt,Alexandria,Business,2025-12-02,App,Push
85,CUST_00085,Male,28,Egypt,Alexandria,Budget,2022-12-22,Store,SMS
86,CUST_00086,Female,19,UAE,Abu Dhabi,Regular,2021-08-10,Website,Push
87,CUST_00087,Male,66,Jordan,Amman,Regular,2024-10-02,Referral,Email
88,CUST_00088,Female,46,Jordan,Zarqa,Regular,2021-04-06,App,SMS
89,CUST_00089,Male,29,Jordan,Amman,Regular,2021-04-15,Website,SMS
90,CUST_00090,Female,55,Jordan,Zarqa,Premium,2021-12-18,Website,Email
91,CUST_00091,Male,28,Saudi Arabia,Dammam,Regular,2022-06-14,Store,Push
92,CUST_00092,Female,38,Saudi Arabia,Jeddah,Regular,2025-12-15,Store,Email
93,CUST_00093,Male,55,Saudi Arabia,Dammam,Budget,2025-07-13,Store,Email
94,CUST_00094,Male,38,Jordan,Aqaba,Business,2022-04-28,Website,SMS
95,CUST_00095,Female,35,Egypt,Alexandria,Regular,2023-11-20,App,SMS
96,CUST_00096,Female,29,Jordan,Amman,Business,2024-09-11,Store,Push
97,CUST_00097,Female,42,UAE,Sharjah,Regular,2022-12-03,Website,SMS
98,CUST_00098,Male,54,UAE,Abu Dhabi,Budget,2024-03-07,Store,Email
99,CUST_00099,Male,56,Saudi Arabia,Dammam,Budget,2022-05-08,Referral,SMS
100,CUST_00100,Male,19,Saudi Arabia,Dammam,Premium,2022-07-15,Store,SMS
101,CUST_00101,Male,30,Jordan,Amman,Business,2022-04-09,Website,Email
102,CUST_00102,Male,23,UAE,Sharjah,Regular,2023-02-27,Referral,None
103,CUST_00103,Female,55,Jordan,Amman,Business,2021-01-29,Website,Email
104,CUST_00104,Female,37,Jordan,Irbid,Premium,2021-01-10,Referral,Push
105,CUST_00105,Female,31,Jordan,Amman,Budget,2024-12-09,Store,Push
106,CUST_00106,Female,57,Saudi Arabia,Jeddah,Regular,2024-11-01,Website,Push
107,CUST_00107,Female,52,Jordan,Zarqa,Regular,2021-07-21,Website,Email
108,CUST_00108,Male,68,Egypt,Giza,Regular,2024-10-23,Website,SMS
109,CUST_00109,Female,26,Saudi Arabia,Riyadh,Budget,2022-12-28,Website,Push
110,CUST_00110,Female,34,Egypt,Cairo,Budget,2025-06-29,Store,None
111,CUST_00111,Male,49,Egypt,Cairo,Business,2022-05-09,App,Push
112,CUST_00112,Female,38,Saudi Arabia,Jeddah,Regular,2022-02-04,Website,None
113,CUST_00113,Female,33,Jordan,Zarqa,Budget,2023-06-14,Store,None
114,CUST_00114,Female,54,Egypt,Alexandria,Budget,2021-07-06,Store,Email
115,CUST_00115,Male,69,UAE,Dubai,Business,2023-01-08,Referral,SMS
116,CUST_00116,Male,28,Egypt,Giza,Budget,2021-04-03,Store,Push
117,CUST_00117,Male,27,Saudi Arabia,Dammam,Regular,2025-10-20,Store,Push
118,CUST_00118,Male,29,Jordan,Zarqa,Regular,2021-06-04,App,None
119,CUST_00119,Female,44,Jordan,Irbid,Premium,2021-08-27,Website,Email
120,CUST_00120,Female,40,Jordan,Zarqa,Regular,2025-03-21,Store,None
121,CUST_00121,Male,65,Jordan,Amman,Budget,2023-10-19,Store,Email
122,CUST_00122,Female,58,UAE,Abu Dhabi,Business,2025-07-23,Store,Email
123,CUST_00123,Female,24,Jordan,Irbid,Regular,2025-09-30,Website,Email
124,CUST_00124,Female,68,Jordan,Zarqa,Regular,2022-08-27,Store,Email
125,CUST_00125,Male,63,Saudi Arabia,Dammam,Regular,2023-07-27,App,SMS
126,CUST_00126,Female,37,UAE,Dubai,Premium,2021-02-13,Website,SMS
127,CUST_00127,Female,51,UAE,Abu Dhabi,Budget,2021-01-03,App,None
128,CUST_00128,Male,55,Saudi Arabia,Riyadh,Regular,2022-10-05,Website,None
129,CUST_00129,Female,56,UAE,Abu Dhabi,Premium,2025-11-20,Store,Email
130,CUST_00130,Female,30,Jordan,Amman,Regular,2024-05-30,Referral,Push
131,CUST_00131,Female,58,UAE,Abu Dhabi,Budget,2023-11-07,Website,Push
132,CUST_00132,Female,19,Jordan,Amman,Budget,2023-10-30,Store,None
133,CUST_00133,Female,20,UAE,Sharjah,Premium,2025-09-03,App,Push
134,CUST_00134,Female,46,Egypt,Cairo,Budget,2021-09-19,Referral,Email
135,CUST_00135,Male,24,UAE,Dubai,Regular,2021-09-24,Website,SMS
136,CUST_00136,Female,19,Jordan,Irbid,Regular,2023-05-07,Store,None
137,CUST_00137,Male,68,Saudi Arabia,Dammam,Regular,2022-03-22,Store,Push
138,CUST_00138,Male,27,Jordan,Amman,Regular,2021-08-17,Store,None
139,CUST_00139,Female,67,UAE,Sharjah,Regular,2021-01-21,Store,SMS
140,CUST_00140,Male,58,UAE,Abu Dhabi,Regular,2024-04-05,Website,Email
141,CUST_00141,Female,64,UAE,Sharjah,Regular,2022-12-07,Website,Email
142,CUST_00142,Female,43,UAE,Abu Dhabi,Regular,2024-01-22,Website,Push
143,CUST_00143,Female,40,Egypt,Alexandria,Budget,2024-03-12,App,Push
144,CUST_00144,Male,32,Egypt,Giza,Premium,2023-01-10,App,SMS
145,CUST_00145,Female,37,UAE,Dubai,Regular,2022-03-27,App,Push
146,CUST_00146,Male,66,Egypt,Cairo,Regular,2024-03-28,Website,Push
147,CUST_00147,Female,46,Egypt,Cairo,Regular,2022-05-15,Referral,Push
148,CUST_00148,Male,43,Jordan,Irbid,Regular,2022-12-26,Store,SMS
149,CUST_00149,Male,37,UAE,Sharjah,Business,2022-04-11,App,None
150,CUST_00150,Female,22,Saudi Arabia,Riyadh,Budget,2023-04-29,App,Email
151,CUST_00151,Female,37,Saudi Arabia,Dammam,Premium,2024-11-12,App,Email
152,CUST_00152,Male,37,Egypt,Giza,Budget,2021-12-07,App,Push
153,CUST_00153,Female,48,Egypt,Giza,Regular,2025-08-21,App,Email
154,CUST_00154,Male,65,Jordan,Irbid,Business,2024-12-14,Store,Push
155,CUST_00155,Male,69,Saudi Arabia,Riyadh,Business,2024-03-10,Website,None
156,CUST_00156,Female,49,UAE,Sharjah,Budget,2021-08-11,Store,SMS
157,CUST_00157,Female,57,UAE,Sharjah,Regular,2021-09-01,Referral,None
158,CUST_00158,Female,52,Egypt,Alexandria,Budget,2023-02-10,App,Email
159,CUST_00159,Female,39,Jordan,Zarqa,Regular,2024-11-03,Store,Push
160,CUST_00160,Male,66,Jordan,Irbid,Regular,2022-02-01,Store,Email
161,CUST_00161,Female,22,UAE,Dubai,Regular,2023-04-24,Website,Email
162,CUST_00162,Female,42,Jordan,Amman,Business,2021-02-02,Store,SMS
163,CUST_00163,Male,65,Jordan,Irbid,Premium,2022-08-01,Store,Email
164,CUST_00164,Female,67,Jordan,Zarqa,Regular,2025-02-01,Store,Email
165,CUST_00165,Female,23,Jordan,Zarqa,Regular,2023-08-29,Store,None
166,CUST_00166,Male,22,Jordan,Aqaba,Regular,2022-07-05,Store,Email
167,CUST_00167,Female,28,Egypt,Alexandria,Business,2022-03-18,Referral,SMS
168,CUST_00168,Female,19,Jordan,Zarqa,Budget,2023-06-16,Store,Push
169,CUST_00169,Female,44,UAE,Dubai,Premium,2023-03-07,App,Push
170,CUST_00170,Male,51,Jordan,Zarqa,Budget,2021-02-23,Website,Push
171,CUST_00171,Female,43,Jordan,Zarqa,Regular,2021-11-08,App,Email
172,CUST_00172,Female,60,UAE,Abu Dhabi,Regular,2023-04-10,App,None
173,CUST_00173,Male,18,UAE,Abu Dhabi,Budget,2022-08-10,Store,SMS
174,CUST_00174,Female,56,UAE,Abu Dhabi,Regular,2022-04-25,App,Push
175,CUST_00175,Male,49,Jordan,Amman,Regular,2023-04-11,App,Email
176,CUST_00176,Female,69,Jordan,Amman,Premium,2023-07-30,Website,SMS
177,CUST_00177,Female,69,Egypt,Cairo,Regular,2025-06-17,App,None
178,CUST_00178,Female,67,Jordan,Zarqa,Regular,2022-06-24,App,Email
179,CUST_00179,Female,46,Saudi Arabia,Dammam,Regular,2024-06-04,App,Push
180,CUST_00180,Male,61,UAE,Dubai,Business,2025-11-28,Store,SMS
181,CUST_00181,Female,28,Jordan,Irbid,Business,2023-12-06,Store,Push
182,CUST_00182,Male,32,Saudi Arabia,Riyadh,Regular,2023-02-19,App,Email
183,CUST_00183,Female,65,Jordan,Amman,Budget,2021-09-15,Store,None
184,CUST_00184,Female,56,UAE,Sharjah,Regular,2025-06-11,App,SMS
185,CUST_00185,Female,41,Egypt,Cairo,Premium,2022-05-08,Referral,Email
186,CUST_00186,Male,35,UAE,Abu Dhabi,Budget,2024-08-20,Store,None
187,CUST_00187,Female,59,UAE,Abu Dhabi,Regular,2024-03-04,App,None
188,CUST_00188,Male,64,Jordan,Aqaba,Regular,2025-12-20,Website,SMS
189,CUST_00189,Male,20,Egypt,Alexandria,Premium,2022-03-10,Store,Email
190,CUST_00190,Female,19,Saudi Arabia,Jeddah,Premium,2023-07-11,Website,Email
191,CUST_00191,Female,46,Egypt,Alexandria,Regular,2024-07-15,Store,Email
192,CUST_00192,Female,45,Saudi Arabia,Jeddah,Regular,2023-01-14,Referral,None
193,CUST_00193,Female,59,Jordan,Amman,Budget,2022-11-21,Referral,None
194,CUST_00194,Female,21,Egypt,Alexandria,Budget,2023-10-10,Store,Push
195,CUST_00195,Male,24,Saudi Arabia,Jeddah,Regular,2023-04-21,App,None
196,CUST_00196,Male,49,Saudi Arabia,Jeddah,Budget,2025-07-09,Store,None
197,CUST_00197,Male,18,Jordan,Zarqa,Regular,2023-06-26,App,Push
198,CUST_00198,Male,64,Jordan,Zarqa,Regular,2024-05-16,Website,SMS
199,CUST_00199,Male,34,UAE,Dubai,Budget,2021-05-05,App,None
200,CUST_00200,Male,44,Jordan,Irbid,Budget,2021-01-11,Store,None
201,CUST_00201,Female,40,Jordan,Aqaba,Premium,2024-07-01,Website,None
202,CUST_00202,Female,53,UAE,Dubai,Regular,2023-03-07,Website,Email
203,CUST_00203,Female,22,Jordan,Amman,Regular,2024-01-13,Referral,SMS
204,CUST_00204,Male,34,Jordan,Amman,Premium,2021-03-29,App,Email
205,CUST_00205,Female,56,UAE,Dubai,Regular,2022-10-08,Website,None
206,CUST_00206,Male,18,Egypt,Giza,Regular,2022-12-18,App,Email
207,CUST_00207,Female,32,Jordan,Zarqa,Regular,2022-09-07,Website,Push
208,CUST_00208,Female,56,UAE,Abu Dhabi,Premium,2025-12-13,Store,None
209,CUST_00209,Female,50,Egypt,Cairo,Business,2023-01-27,Store,Email
210,CUST_00210,Male,64,Jordan,Zarqa,Regular,2025-01-11,Store,SMS
211,CUST_00211,Male,56,UAE,Dubai,Premium,2025-04-19,App,Push
212,CUST_00212,Male,66,Jordan,Aqaba,Regular,2025-08-27,App,Push
213,CUST_00213,Female,38,Saudi Arabia,Jeddah,Regular,2022-12-25,Store,Push
214,CUST_00214,Female,41,Jordan,Zarqa,Budget,2022-10-29,App,Push
215,CUST_00215,Female,34,Egypt,Cairo,Budget,2025-02-04,Store,Push
216,CUST_00216,Male,24,Egypt,Cairo,Regular,2024-08-16,App,SMS
217,CUST_00217,Male,53,Saudi Arabia,Dammam,Budget,2022-12-11,App,Email
218,CUST_00218,Male,46,Egypt,Alexandria,Regular,2025-03-30,App,Email
219,CUST_00219,Male,27,Jordan,Irbid,Budget,2025-09-19,Store,Push
220,CUST_00220,Female,31,Saudi Arabia,Jeddah,Premium,2021-04-14,Store,Email
221,CUST_00221,Male,34,Jordan,Irbid,Regular,2021-03-11,Website,Push
222,CUST_00222,Male,35,UAE,Sharjah,Budget,2024-04-03,App,Email
223,CUST_00223,Male,22,Egypt,Giza,Premium,2023-12-25,Store,SMS
224,CUST_00224,Male,27,Egypt,Alexandria,Budget,2024-06-26,Store,SMS
225,CUST_00225,Male,53,Saudi Arabia,Jeddah,Premium,2025-03-16,App,Push
226,CUST_00226,Female,19,Saudi Arabia,Dammam,Budget,2025-10-09,App,SMS
227,CUST_00227,Female,44,Egypt,Alexandria,Regular,2021-05-16,App,Email
228,CUST_00228,Female,44,Egypt,Giza,Regular,2025-12-24,Store,SMS
229,CUST_00229,Male,18,Jordan,Irbid,Budget,2022-12-08,Store,SMS
230,CUST_00230,Male,42,Jordan,Amman,Budget,2024-10-05,Store,Push
231,CUST_00231,Female,26,Jordan,Zarqa,Budget,2022-10-02,Store,Email
232,CUST_00232,Female,54,Saudi Arabia,Dammam,Regular,2023-02-13,App,Push
233,CUST_00233,Male,22,Jordan,Amman,Budget,2022-08-27,Store,Push
234,CUST_00234,Male,55,Egypt,Giza,Regular,2022-04-17,Store,None
235,CUST_00235,Male,32,Jordan,Irbid,Budget,2023-08-15,App,Push
236,CUST_00236,Male,36,Saudi Arabia,Riyadh,Premium,2023-02-26,Store,Push
237,CUST_00237,Male,19,Jordan,Irbid,Regular,2024-11-06,Store,Email
238,CUST_00238,Female,35,Egypt,Alexandria,Premium,2024-05-07,Store,Push
239,CUST_00239,Female,35,UAE,Dubai,Budget,2023-01-30,App,Push
240,CUST_00240,Female,50,Egypt,Alexandria,Regular,2025-06-14,Store,Push
241,CUST_00241,Male,61,UAE,Dubai,Budget,2023-07-14,Store,None
242,CUST_00242,Male,69,Egypt,Alexandria,Regular,2022-02-23,Store,SMS
243,CUST_00243,Male,58,Saudi Arabia,Riyadh,Budget,2022-10-06,Store,Push
244,CUST_00244,Male,23,Egypt,Alexandria,Business,2024-08-03,Store,Email
245,CUST_00245,Female,42,Jordan,Zarqa,Budget,2022-01-25,Store,SMS
246,CUST_00246,Male,30,Saudi Arabia,Dammam,Regular,2021-05-16,Website,Email
247,CUST_00247,Female,37,Egypt,Alexandria,Premium,2024-08-14,App,Push
248,CUST_00248,Female,38,UAE,Sharjah,Budget,2022-07-13,Store,Email
249,CUST_00249,Female,28,Saudi Arabia,Riyadh,Budget,2021-02-04,Referral,None
250,CUST_00250,Male,33,UAE,Dubai,Regular,2025-02-21,Store,Email
251,CUST_00251,Male,24,UAE,Abu Dhabi,Regular,2021-05-03,Website,Email
252,CUST_00252,Female,50,Saudi Arabia,Riyadh,Budget,2021-07-26,Website,Push
253,CUST_00253,Male,27,Jordan,Amman,Regular,2024-12-15,App,None
254,CUST_00254,Male,52,Saudi Arabia,Dammam,Budget,2023-11-30,Store,None
255,CUST_00255,Male,59,UAE,Abu Dhabi,Regular,2021-04-29,App,None
256,CUST_00256,Female,69,Jordan,Zarqa,Business,2022-11-05,Store,None
257,CUST_00257,Male,47,UAE,Dubai,Regular,2024-03-18,Website,SMS
258,CUST_00258,Male,38,Saudi Arabia,Riyadh,Regular,2023-06-16,Website,Email
259,CUST_00259,Male,36,Saudi Arabia,Riyadh,Regular,2021-10-25,Store,Email
260,CUST_00260,Male,54,Saudi Arabia,Dammam,Budget,2023-05-08,Website,None
261,CUST_00261,Male,46,Jordan,Aqaba,Regular,2022-05-26,Store,Email
262,CUST_00262,Male,36,Saudi Arabia,Riyadh,Budget,2021-06-18,Store,Push
263,CUST_00263,Male,45,Egypt,Giza,Budget,2023-06-04,Website,Email
264,CUST_00264,Female,48,UAE,Sharjah,Budget,2021-04-26,Referral,Email
265,CUST_00265,Female,28,Jordan,Irbid,Regular,2025-03-10,Store,Push
266,CUST_00266,Male,52,UAE,Abu Dhabi,Business,2025-07-08,Store,Push
267,CUST_00267,Female,34,Egypt,Giza,Budget,2024-07-10,Website,Push
268,CUST_00268,Female,23,Saudi Arabia,Dammam,Regular,2022-10-21,Store,SMS
269,CUST_00269,Female,19,Saudi Arabia,Riyadh,Budget,2025-10-28,App,Push
270,CUST_00270,Male,60,UAE,Sharjah,Budget,2025-01-23,App,SMS
271,CUST_00271,Female,42,Egypt,Cairo,Premium,2024-10-19,Website,None
272,CUST_00272,Male,32,Egypt,Giza,Premium,2023-04-10,Website,None
273,CUST_00273,Male,33,UAE,Dubai,Regular,2021-10-31,Store,Email
274,CUST_00274,Female,45,Jordan,Zarqa,Regular,2022-11-17,Store,Email
275,CUST_00275,Female,50,Jordan,Irbid,Regular,2021-01-17,App,Email
276,CUST_00276,Female,24,UAE,Sharjah,Premium,2021-04-30,Store,None
277,CUST_00277,Male,26,UAE,Abu Dhabi,Regular,2024-08-11,App,Email
278,CUST_00278,Female,24,Saudi Arabia,Dammam,Regular,2023-09-15,App,None
279,CUST_00279,Male,38,Egypt,Alexandria,Business,2025-10-17,Store,None
280,CUST_00280,Female,60,Jordan,Aqaba,Regular,2025-08-08,Website,None
281,CUST_00281,Female,32,UAE,Abu Dhabi,Regular,2023-06-11,Website,Email
282,CUST_00282,Female,40,Saudi Arabia,Riyadh,Regular,2023-03-18,Referral,SMS
283,CUST_00283,Male,41,Jordan,Amman,Budget,2022-06-12,App,Email
284,CUST_00284,Male,37,Saudi Arabia,Riyadh,Regular,2021-04-01,App,None
285,CUST_00285,Male,32,Jordan,Irbid,Premium,2024-05-04,App,SMS
286,CUST_00286,Female,34,Saudi Arabia,Riyadh,Budget,2024-03-10,Store,Push
287,CUST_00287,Male,67,UAE,Dubai,Budget,2024-06-16,Store,Email
288,CUST_00288,Male,52,Jordan,Amman,Premium,2025-06-06,App,Email
289,CUST_00289,Male,55,Saudi Arabia,Dammam,Regular,2023-01-29,Store,Email
290,CUST_00290,Male,41,UAE,Abu Dhabi,Regular,2021-10-07,Website,Push
291,CUST_00291,Male,65,Saudi Arabia,Riyadh,Budget,2023-02-01,Store,SMS
292,CUST_00292,Female,18,UAE,Sharjah,Business,2023-07-20,Store,None
293,CUST_00293,Female,25,Jordan,Zarqa,Regular,2025-05-30,Website,None
294,CUST_00294,Male,30,Jordan,Zarqa,Regular,2025-10-29,App,Push
295,CUST_00295,Male,48,Jordan,Irbid,Premium,2023-05-17,Store,Email
296,CUST_00296,Male,37,UAE,Abu Dhabi,Budget,2022-05-30,Store,Email
297,CUST_00297,Male,45,Jordan,Amman,Business,2022-09-22,App,Email
298,CUST_00298,Male,58,Jordan,Irbid,Premium,2021-11-25,App,Push
299,CUST_00299,Female,20,Jordan,Amman,Regular,2025-12-25,Store,SMS
300,CUST_00300,Male,51,Egypt,Cairo,Regular,2023-07-16,Store,Email
301,CUST_00301,Male,20,UAE,Sharjah,Budget,2025-12-15,Website,Email
302,CUST_00302,Female,27,Saudi Arabia,Riyadh,Regular,2021-02-01,Store,Email
303,CUST_00303,Male,20,UAE,Sharjah,Premium,2022-05-01,Store,Push
304,CUST_00304,Female,56,UAE,Sharjah,Regular,2025-02-20,Store,Email
305,CUST_00305,Male,23,UAE,Sharjah,Regular,2023-03-09,Store,Email
306,CUST_00306,Male,63,Saudi Arabia,Riyadh,Budget,2024-07-25,Store,Email
307,CUST_00307,Male,54,Egypt,Cairo,Regular,2023-07-30,App,Email
308,CUST_00308,Male,28,Saudi Arabia,Jeddah,Premium,2024-10-24,App,SMS
309,CUST_00309,Male,50,Saudi Arabia,Riyadh,Premium,2025-01-15,Referral,None
310,CUST_00310,Male,39,Egypt,Giza,Regular,2025-06-28,Store,SMS
311,CUST_00311,Male,58,UAE,Abu Dhabi,Premium,2023-04-07,Referral,Email
312,CUST_00312,Male,61,Egypt,Alexandria,Regular,2021-02-10,Website,Email
313,CUST_00313,Female,48,Jordan,Aqaba,Regular,2023-08-03,Store,Push
314,CUST_00314,Male,40,Jordan,Irbid,Budget,2022-06-25,Store,SMS
315,CUST_00315,Male,61,Jordan,Irbid,Regular,2023-02-23,Store,SMS
316,CUST_00316,Female,49,Egypt,Giza,Budget,2024-07-12,Store,None
317,CUST_00317,Male,45,Jordan,Irbid,Regular,2022-06-05,Store,None
318,CUST_00318,Male,60,Jordan,Zarqa,Regular,2025-04-26,Store,SMS
319,CUST_00319,Female,63,Jordan,Amman,Budget,2022-05-17,Store,Push
320,CUST_00320,Female,36,Egypt,Giza,Regular,2025-08-14,Store,Email
321,CUST_00321,Female,27,Egypt,Alexandria,Budget,2022-01-22,Website,Push
322,CUST_00322,Female,30,Jordan,Zarqa,Premium,2023-09-08,Website,SMS
323,CUST_00323,Female,27,UAE,Sharjah,Premium,2022-12-31,Store,Email
324,CUST_00324,Female,36,Saudi Arabia,Jeddah,Budget,2025-01-18,App,Email
325,CUST_00325,Male,27,Jordan,Irbid,Regular,2023-04-30,Store,Push
326,CUST_00326,Male,42,Egypt,Alexandria,Business,2024-01-10,Store,None
327,CUST_00327,Male,31,Jordan,Irbid,Premium,2021-03-11,Referral,Email
328,CUST_00328,Female,20,UAE,Sharjah,Premium,2025-12-10,Store,Push
329,CUST_00329,Male,33,Saudi Arabia,Jeddah,Budget,2024-05-01,Website,Push
330,CUST_00330,Female,30,Egypt,Cairo,Regular,2025-04-22,Website,Push
